2. dűlő;Debrecen
3. dűlő;Debrecen
Ábel utca;Debrecen
Abigél utca;Debrecen
Abonyi utca;Debrecen
Áchim András utca;Debrecen
Acsádi út;Debrecen
Ács utca;Debrecen
Aczél Géza utca;Debrecen
Ádám utca;Debrecen
Ady Endre sugárút;Debrecen
Ady park;Debrecen
Áfonya utca;Debrecen
Agancs utca;Debrecen
Agárdi utca;Debrecen
Ág utca;Debrecen
Ajtó utca;Debrecen
Akácfa utca;Debrecen
Akácméz utca;Debrecen
Akácvirág utca;Debrecen
Akadémia utca;Debrecen
Alkonyat köz;Debrecen
Alkonyat utca;Debrecen
Alkotás utca;Debrecen
Alkotmány utca;Debrecen
Állomás utca;Debrecen
Almáskert utca;Debrecen
Alma utca;Debrecen
Álmos utca;Debrecen
Alsójózsai utca;Debrecen
Alvinczi utca;Debrecen
Andaházi utca;Debrecen
Angyalföld tér;Debrecen
Ánizs utca;Debrecen
Antall József utca;Debrecen
Apafája utca;Debrecen
Apafa tanya;Debrecen
Apafa vasútállomás;Debrecen
Apafi utca;Debrecen
Apáterdő utca;Debrecen
Arad utca;Debrecen
Aranyeső utca;Debrecen
Aranyfácán utca;Debrecen
Arany János tér;Debrecen
Arany János utca;Debrecen
Aranykapu utca;Debrecen
Arasz utca;Debrecen
Arató utca;Debrecen
Árnika utca;Debrecen
Árnyas utca;Debrecen
Árok utca;Debrecen
Árpád tér;Debrecen
Árpa utca;Debrecen
Árvalányhaj utca;Debrecen
Árva utca;Debrecen
Asztalos utca;Debrecen
Attila tér;Debrecen
Aulich utca;Debrecen
Babarózsa utca;Debrecen
Babér utca;Debrecen
Babits Mihály utca;Debrecen
Bádogos köz;Debrecen
Bádogos utca;Debrecen
Bagoly utca;Debrecen
Bajcsy-Zsilinszky utca;Debrecen
Bajnok utca;Debrecen
Bajonett utca;Debrecen
Bajza József utca;Debrecen
Bakator utca;Debrecen
Baksay Sándor utca;Debrecen
Balásházy János utca;Debrecen
Balassi Bálint utca;Debrecen
Balaton utca;Debrecen
Bálint pap utca;Debrecen
Bálint Zoltán utca;Debrecen
Balmazújvárosi út;Debrecen
Balogh Mihály utca;Debrecen
Baltazár Dezső tér;Debrecen
Balzsamfű utca;Debrecen
Bánat utca;Debrecen
Bán Imre utca;Debrecen
Bánk tanya;Debrecen
Bán utca;Debrecen
Bányai Júlia utca;Debrecen
Barackos utca;Debrecen
Barakonyi utca;Debrecen
Bárányfelhő utca;Debrecen
Bárány utca;Debrecen
Barátság utca;Debrecen
Barcaság utca;Debrecen
Bárczi Géza utca;Debrecen
Barna utca;Debrecen
Baross Gábor utca;Debrecen
Bársony utca;Debrecen
Barta János utca;Debrecen
Bartha Boldizsár utca;Debrecen
Bartók Béla út;Debrecen
Basahalom utca;Debrecen
Baskír utca;Debrecen
Báthori utca;Debrecen
Batthyány utca;Debrecen
Bayk András kert;Debrecen
Bayk András utca;Debrecen
Bay Zoltán utca;Debrecen
Bazsalikom utca;Debrecen
Bazsarózsa utca;Debrecen
Becsky utca;Debrecen
Bégány utca;Debrecen
Begónia utca;Debrecen
Bekecs utca;Debrecen
Békéscsaba utca;Debrecen
Békéssy Béla utca;Debrecen
Békés utca;Debrecen
Béla utca;Debrecen
Bellegelő kert;Debrecen
Bem József utca;Debrecen
Bem tér;Debrecen
Bencsik Sándor utca;Debrecen
Benczúr Gyula utca;Debrecen
Bendegúz tér;Debrecen
Benedek Elek tér;Debrecen
Benedek Mihály utca;Debrecen
Bercsényi utca;Debrecen
Beregszászi Pál utca;Debrecen
Berek utca;Debrecen
Berettyó utca;Debrecen
Béri Balogh utca;Debrecen
Berkenye utca;Debrecen
Berta utca;Debrecen
Berzsenyi út;Debrecen
Besenyő utca;Debrecen
Bessenyei utca;Debrecen
Besze János utca;Debrecen
Besztercei utca;Debrecen
Bethlen utca;Debrecen
Beton tanya;Debrecen
Bezerédj Imre utca;Debrecen
Bibe utca;Debrecen
Bíbic utca;Debrecen
Bíbor utca;Debrecen
Biczó István kert;Debrecen
Biczókert utca;Debrecen
Bihari utca;Debrecen
Bimbó utca;Debrecen
Bíró utca;Debrecen
Birsalma utca;Debrecen
Blaháné utca;Debrecen
Bocskai István út;Debrecen
Bocskai tér;Debrecen
Bodai utca;Debrecen
Bodrog utca;Debrecen
Bodza utca;Debrecen
Bogáncs utca;Debrecen
Boglárka utca;Debrecen
Bognár Rezső utca;Debrecen
Bojtár utca;Debrecen
Bojta utca;Debrecen
Bojtorján utca;Debrecen
Boka Károly utca;Debrecen
Bokréta utca;Debrecen
Bokros utca;Debrecen
Bölcs utca;Debrecen
Boldogfalva utca;Debrecen
Boldogkert utca;Debrecen
Böllér utca;Debrecen
Bólyai utca;Debrecen
Bondorhát utca;Debrecen
Borágó utca;Debrecen
Bőralma utca;Debrecen
Borbíró tér;Debrecen
Borbolya utca;Debrecen
Borház utca;Debrecen
Bornemissza utca;Debrecen
Boróka utca;Debrecen
Borostyán utca;Debrecen
Boros utca;Debrecen
Borsika utca;Debrecen
Borsmenta utca;Debrecen
Borsos József tér;Debrecen
Borsovai utca;Debrecen
Borszőlő utca;Debrecen
Borzán Gáspár utca;Debrecen
Borz utca;Debrecen
Böszörményi út;Debrecen
Botond utca;Debrecen
Branyiszkó utca;Debrecen
Budai Ézsaiás utca;Debrecen
Budai Nagy Antal utca;Debrecen
Bujdosó utca;Debrecen
Bükkmogyoró utca;Debrecen
Bükk utca;Debrecen
Bulgár utca;Debrecen
Burgundia utca;Debrecen
Bürök utca;Debrecen
Busi utca;Debrecen
Búza utca;Debrecen
Búzavirág utca;Debrecen
Buzogány utca;Debrecen
Cecília utca;Debrecen
Cegléd utca;Debrecen
Cickafark utca;Debrecen
Ciklámen utca;Debrecen
Cikória utca;Debrecen
Cimbalom utca;Debrecen
Cinege utca;Debrecen
Citera utca;Debrecen
Citromfű utca;Debrecen
Civis utca;Debrecen
Csabagyöngye utca;Debrecen
Csaba vezér utca;Debrecen
Csákány utca;Debrecen
Csalán utca;Debrecen
Csalitos utca;Debrecen
Csalogány utca;Debrecen
Csanak utca;Debrecen
Csángó utca;Debrecen
Csányi Dániel utca;Debrecen
Csapókert utca;Debrecen
Csapó utca;Debrecen
Csapszék utca;Debrecen
Csap utca;Debrecen
Csárdás utca;Debrecen
Csárda út;Debrecen
Császár Péter utca;Debrecen
Csatár utca;Debrecen
Csata utca;Debrecen
Csáthy utca;Debrecen
Csatorna sor;Debrecen
Csemete utca;Debrecen
Csendes utca;Debrecen
Csenger utca;Debrecen
Csengő utca;Debrecen
Cséplő utca;Debrecen
Csereág utca;Debrecen
Cserebogár utca;Debrecen
Csereerdő utca;Debrecen
Cserei-ér dűlő;Debrecen
Cserei part;Debrecen
Cserei utca;Debrecen
Cserepes utca;Debrecen
Cseresznye utca;Debrecen
Cserfa utca;Debrecen
Cser köz;Debrecen
Cserlevél utca;Debrecen
Csermely utca;Debrecen
Cserszömörce utca;Debrecen
Cser utca;Debrecen
Csigekert utca;Debrecen
Csíkhal utca;Debrecen
Csikós utca;Debrecen
Csillagfürt utca;Debrecen
Csillag utca;Debrecen
Csillagvirág utca;Debrecen
Csipkebokor utca;Debrecen
Csipkerózsa utca;Debrecen
Csipkés utca;Debrecen
Csizmadia utca;Debrecen
Csíz utca;Debrecen
Csobolyó utca;Debrecen
Csóka utca;Debrecen
Csokonai utca;Debrecen
Csók utca;Debrecen
Csombor utca;Debrecen
Csónak utca;Debrecen
Csongor utca;Debrecen
Csongrád utca;Debrecen
Csonkatorony utca;Debrecen
Csonka utca;Debrecen
Csordás Ferenc utca;Debrecen
Csoroszlya utca;Debrecen
Csörsz utca;Debrecen
Csucsor utca;Debrecen
Csúcs utca;Debrecen
Csuka utca;Debrecen
Csűry Bálint utca;Debrecen
Csutorás utca;Debrecen
Csuvas utca;Debrecen
Damjanich utca;Debrecen
Darabos utca;Debrecen
Dárda utca;Debrecen
Daróczi Vilmos utca;Debrecen
Daru utca;Debrecen
Deák Ferenc utca;Debrecen
Délibáb utca;Debrecen
Déli sor;Debrecen
Dembinszky utca;Debrecen
Derekassy István utca;Debrecen
Derék utca;Debrecen
Déri tér;Debrecen
Dér utca;Debrecen
Dessewffy utca;Debrecen
Dévai utca;Debrecen
Dévény utca;Debrecen
Dézsa utca;Debrecen
Dézsi András utca;Debrecen
Diadal utca;Debrecen
Dicsőfi utca;Debrecen
Dienes János utca;Debrecen
Diófa utca;Debrecen
Diószegi út;Debrecen
Dió utca;Debrecen
Doberdó utca;Debrecen
Doboka utca;Debrecen
Dobó utca;Debrecen
Dobozi utca;Debrecen
Doboz utca;Debrecen
Dobsina utca;Debrecen
Dob utca;Debrecen
Dobverő utca;Debrecen
Dóczy József utca;Debrecen
Dohánykert utca;Debrecen
Dohányos utca;Debrecen
Dolmány utca;Debrecen
Dombhajlat utca;Debrecen
Dombhát utca;Debrecen
Dombosi út;Debrecen
Dombostanya ;Debrecen
Domb utca;Debrecen
Domokoskert utca;Debrecen
Domokos Lajos utca;Debrecen
Domokos Márton kert;Debrecen
Dongó utca;Debrecen
Dorogi utca;Debrecen
Dorottya utca;Debrecen
Dorozsma utca;Debrecen
Dósa nádor tér;Debrecen
Dózsa György utca;Debrecen
Dugovics Titusz utca;Debrecen
Duskás Ferenc utca;Debrecen
Ecsedi István utca;Debrecen
Éden utca;Debrecen
Éger utca;Debrecen
Egressy Béni tér;Debrecen
Egyetem sugárút;Debrecen
Egyetem tér;Debrecen
Egyletkert utca;Debrecen
Egymalom utca;Debrecen
Elek utca;Debrecen
Előd utca;Debrecen
Előkert utca;Debrecen
Ember Pál utca;Debrecen
Endre utca;Debrecen
Eötvös utca;Debrecen
Eperfa utca;Debrecen
Eperjes utca;Debrecen
Eper utca;Debrecen
Építész utca;Debrecen
Építők utca;Debrecen
Epreskert utca;Debrecen
Erdei Ferenc utca;Debrecen
Erdély utca;Debrecen
Erdészház ;Debrecen
Erdész utca;Debrecen
Erdőalja utca;Debrecen
Erdőhát utca;Debrecen
Erdőmellék utca;Debrecen
Erdőmester utca;Debrecen
Erdősor utca;Debrecen
Erdőspuszta utca;Debrecen
Erdőszél utca;Debrecen
Erkel Ferenc utca;Debrecen
Érmellék utca;Debrecen
Erőss Lajos utca;Debrecen
Érpart utca;Debrecen
Érsek utca;Debrecen
Erzsébet utca;Debrecen
Estike utca;Debrecen
Északi sor;Debrecen
Esze Tamás utca;Debrecen
Éva utca;Debrecen
Ezerjófű utca;Debrecen
Ezüstfenyő utca;Debrecen
Ezüstmoha utca;Debrecen
Ezüstnyár utca;Debrecen
Fácán utca;Debrecen
Fagyal utca;Debrecen
Fagyöngy utca;Debrecen
Fakopáncs utca;Debrecen
Fancsika tanya;Debrecen
Faragó utca;Debrecen
Faraktár utca;Debrecen
Farkasalma utca;Debrecen
Farkas utca;Debrecen
Fátyolfelhő utca;Debrecen
Fátyolka utca;Debrecen
Fátyolvirág utca;Debrecen
Fáy András utca;Debrecen
Fazekas Mihály utca;Debrecen
Fecske utca;Debrecen
Fehérgyarmat utca;Debrecen
Fehérszilva utca;Debrecen
Fejedelem utca;Debrecen
Fekete István utca;Debrecen
Feketerét utca;Debrecen
Félegyházi Tamás utca;Debrecen
Felleg utca;Debrecen
Felsőjózsai utca;Debrecen
Felsőpércsi utca;Debrecen
Fényes udvar;Debrecen
Fenyő utca;Debrecen
Fény utca;Debrecen
Fenyves utca;Debrecen
Fészek utca;Debrecen
Fiákeres utca;Debrecen
Fillér utca;Debrecen
Fodormenta utca;Debrecen
Fogoly utca;Debrecen
Fokos utca;Debrecen
Földibodza utca;Debrecen
Földi János utca;Debrecen
Fóliás utca;Debrecen
Fonatos utca;Debrecen
Forduló köz;Debrecen
Forgách utca;Debrecen
Főző utca;Debrecen
Függetlenség utca;Debrecen
Fülemüle utca;Debrecen
Fülöp utca;Debrecen
Füredi út;Debrecen
Fűrész utca;Debrecen
Fürj utca;Debrecen
Furmint utca;Debrecen
Fürtös köz;Debrecen
Furulya utca;Debrecen
Futó utca;Debrecen
Futrinka utca;Debrecen
Fuvallat utca;Debrecen
Füvészkert utca;Debrecen
Füzes dűlő;Debrecen
Fűzfa utca;Debrecen
Füzike utca;Debrecen
Gábor Áron utca;Debrecen
Gáborjáni Szabó Kálmán utca;Debrecen
Galagonya utca;Debrecen
Galamb utca;Debrecen
Galvácsy köz;Debrecen
Gambrinus köz;Debrecen
Garai utca;Debrecen
Gárdonyi Géza utca;Debrecen
Gáspár Endre utca;Debrecen
Gáspár György kert;Debrecen
Gát utca;Debrecen
Gázgyár utca;Debrecen
Gázvezeték utca;Debrecen
Gébics utca;Debrecen
Gépész utca;Debrecen
Gerbera utca;Debrecen
Géresi utca;Debrecen
Gergely utca;Debrecen
Gerle utca;Debrecen
Gesztenye utca;Debrecen
Géza utca;Debrecen
Ghilányi utca;Debrecen
Gilice köz;Debrecen
Gizella utca;Debrecen
Gogol utca;Debrecen
Gohér utca;Debrecen
Gólyahír utca;Debrecen
Gólya utca;Debrecen
Golyó utca;Debrecen
Gombvirág utca;Debrecen
Göncölszekér utca;Debrecen
Gönczy Pál utca;Debrecen
Görbe utca;Debrecen
Görgény utca;Debrecen
Görgey utca;Debrecen
Gorkij utca;Debrecen
Görög utca;Debrecen
Gránát utca;Debrecen
Gubacs utca;Debrecen
Gulyakút utca;Debrecen
Gulyás Pál utca;Debrecen
Guti utca;Debrecen
Gvadányi utca;Debrecen
Gyalog utca;Debrecen
Gyár utca;Debrecen
Gyékény utca;Debrecen
Gyémánt utca;Debrecen
Gyepűsor utca;Debrecen
Gyergyó utca;Debrecen
Gyimes utca;Debrecen
Gyires Béla utca;Debrecen
Gyolcsos utca;Debrecen
Gyoma utca;Debrecen
Gyömbér utca;Debrecen
Gyöngyike utca;Debrecen
Gyöngyösi utca;Debrecen
Gyöngyszem utca;Debrecen
Gyöngyvessző utca;Debrecen
Gyöngyvirág utca;Debrecen
Gyopár utca;Debrecen
Győrffy István utca;Debrecen
György utca;Debrecen
Gyulai utca;Debrecen
Gyümölcs utca;Debrecen
Gyurgyalag utca;Debrecen
Gyűrű utca;Debrecen
Gyűszűvirág utca;Debrecen
Hadházi út;Debrecen
Hadvezér utca;Debrecen
Hajdú köz;Debrecen
Hajdúszentgyörgy vasútállomás;Debrecen
Hajdú utca;Debrecen
Hajnalcsillag utca;Debrecen
Hajnal utca;Debrecen
Hajós Alfréd utca;Debrecen
Hajó utca;Debrecen
Haladás utca;Debrecen
Haláp tanya;Debrecen
Haláp utca;Debrecen
Halasi utca;Debrecen
Halastó utca;Debrecen
Halász István utca;Debrecen
Halász utca;Debrecen
Hal köz;Debrecen
Hámfa utca;Debrecen
Hanga utca;Debrecen
Hangyás utca;Debrecen
Hanna Kincse tanya;Debrecen
Harangos utca;Debrecen
Harasztos köz;Debrecen
Hargita utca;Debrecen
Harkály utca;Debrecen
Hármashegy utca;Debrecen
Harmatfű utca;Debrecen
Harmat utca;Debrecen
Hársfavirág utca;Debrecen
Harsona utca;Debrecen
Harstein-kert ;Debrecen
Hárs utca;Debrecen
Határ út;Debrecen
Hatház utca;Debrecen
Hátszeg utca;Debrecen
Hattyú utca;Debrecen
Hatvani István utca;Debrecen
Hatvan utca;Debrecen
Házgyár utca;Debrecen
Hegyi Mihályné utca;Debrecen
Hegyköz utca;Debrecen
Hegy utca;Debrecen
Heltai Jenő utca;Debrecen
Herczeg utca;Debrecen
Herpay Gábor utca;Debrecen
Hetényi János utca;Debrecen
Hétvezér utca;Debrecen
Hevesi utca;Debrecen
Híd utca;Debrecen
Hínár köz;Debrecen
Hínár utca;Debrecen
Hintós utca;Debrecen
Hodászi Lukács utca;Debrecen
Hódos Imre utca;Debrecen
Hód utca;Debrecen
Hőforrás utca;Debrecen
Holdsugár utca;Debrecen
Hold utca;Debrecen
Holdvilág utca;Debrecen
Holló János utca;Debrecen
Holló László sétány;Debrecen
Holló László utca;Debrecen
Hollós utca;Debrecen
Homokhát utca;Debrecen
Homokkert utca;Debrecen
Homok utca;Debrecen
Honti utca;Debrecen
Honvédtemető utca;Debrecen
Honvéd utca;Debrecen
Hópihe utca;Debrecen
Hordó utca;Debrecen
Horgász utca;Debrecen
Hortobágy utca;Debrecen
Horváth Árpád utca;Debrecen
Hősök útja;Debrecen
Hosszúpályi út;Debrecen
Hóvirág utca;Debrecen
Hullám utca;Debrecen
Hungária utca;Debrecen
Hun utca;Debrecen
Hunyadi János utca;Debrecen
Hunyor utca;Debrecen
Hüse tanya;Debrecen
Huszár Gál utca;Debrecen
Hüvelyes utca;Debrecen
Ibolya utca;Debrecen
Ifjúság utca;Debrecen
Iglice utca;Debrecen
Igló utca;Debrecen
Igric utca;Debrecen
Ildikó utca;Debrecen
Illyés Gyula utca;Debrecen
Ilona utca;Debrecen
Inda utca;Debrecen
Iparkamara utca;Debrecen
Ipoly utca;Debrecen
Irányi Dániel utca;Debrecen
Irén utca;Debrecen
Iringó utca;Debrecen
Irinyi utca;Debrecen
Iskola utca;Debrecen
Ispán utca;Debrecen
Ispotály utca;Debrecen
István király tér;Debrecen
István út;Debrecen
Iván mester utca;Debrecen
Izabella utca;Debrecen
Izsó utca;Debrecen
Jáger dűlő;Debrecen
Jámbor Lajos utca;Debrecen
Jánosi utca;Debrecen
János Vitéz utca;Debrecen
Jászai Mari utca;Debrecen
Jász utca;Debrecen
Jázmin utca;Debrecen
Jegenye utca;Debrecen
Jégvirág utca;Debrecen
Jenő utca;Debrecen
Jerikó utca;Debrecen
Jókai utca;Debrecen
Jonatán utca;Debrecen
Jósa Miklós utca;Debrecen
Jósika utca;Debrecen
Josta utca;Debrecen
Józsa István utca;Debrecen
Józsai utca;Debrecen
Józsakert utca;Debrecen
József Attila utca;Debrecen
József utca;Debrecen
Juharfa utca;Debrecen
Juhász Géza utca;Debrecen
Juhász Gyula utca;Debrecen
Jurisich utca;Debrecen
Kabar utca;Debrecen
Kacagány utca;Debrecen
Kadarcs utca;Debrecen
Kádárdűlő ;Debrecen
Kadarka utca;Debrecen
Kádár utca;Debrecen
Kádas utca;Debrecen
Kadosa utca;Debrecen
Kaffka Margit utca;Debrecen
Kakaslábfű utca;Debrecen
Kakas utca;Debrecen
Káka utca;Debrecen
Kaktusz utca;Debrecen
Kakukk utca;Debrecen
Kalász utca;Debrecen
Káliz utca;Debrecen
Kálmán Béla utca;Debrecen
Kálmáncsehi utca;Debrecen
Kálmán utca;Debrecen
Kálmos utca;Debrecen
Kalotaszeg tér;Debrecen
Kálvin tér;Debrecen
Kamarás utca;Debrecen
Kamilla utca;Debrecen
Kanális utca;Debrecen
Kandia utca;Debrecen
Kandó Kálmán utca;Debrecen
Kankalin utca;Debrecen
Kantár utca;Debrecen
Kántor utca;Debrecen
Kanyar sor;Debrecen
Kánya utca;Debrecen
Kapitány utca;Debrecen
Kápolnási utca;Debrecen
Kapor utca;Debrecen
Kaptár utca;Debrecen
Karabély utca;Debrecen
Karacs Ferenc utca;Debrecen
Karácsony György utca;Debrecen
Kárász utca;Debrecen
Kardos Albert utca;Debrecen
Kard utca;Debrecen
Kardvirág utca;Debrecen
Karinthy Frigyes utca;Debrecen
Kárókatona utca;Debrecen
Károli Gáspár tér;Debrecen
Károli Gáspár utca;Debrecen
Károlyi Mihály utca;Debrecen
Kárpáti Károly utca;Debrecen
Kartács utca;Debrecen
Kar utca;Debrecen
Kaskötő utca;Debrecen
Kassai út;Debrecen
Kastélykert utca;Debrecen
Kastély utca;Debrecen
Kasza köz;Debrecen
Kaszás utca;Debrecen
Kászon utca;Debrecen
Katalin utca;Debrecen
Katáng utca;Debrecen
Katona József utca;Debrecen
Kavics utca;Debrecen
Kazár utca;Debrecen
Kazinczy utca;Debrecen
Kecsege utca;Debrecen
Kecskerágó utca;Debrecen
Kéknyelű utca;Debrecen
Kékperje utca;Debrecen
Kékszilva utca;Debrecen
Kékszőlő utca;Debrecen
Kéky Lajos utca;Debrecen
Kelence utca;Debrecen
Keleti sor;Debrecen
Kemény Zsigmond utca;Debrecen
Kender utca;Debrecen
Kenézy Gyula utca;Debrecen
Kengyel zug;Debrecen
Kenyér utca;Debrecen
Kerecsen utca;Debrecen
Kerekes Ferenc utca;Debrecen
Kerékgyártó utca;Debrecen
Keresszegi utca;Debrecen
Keresztesi utca;Debrecen
Kérész utca;Debrecen
Kerezsi Endre utca;Debrecen
Kertbarát utca;Debrecen
Kertekalja utca;Debrecen
Kertész utca;Debrecen
Kerti utca;Debrecen
Kertváros utca;Debrecen
Kér utca;Debrecen
Késmárk utca;Debrecen
Keszeg utca;Debrecen
Keszi utca;Debrecen
Kétmalom utca;Debrecen
Keve utca;Debrecen
Kígyóhagyma utca;Debrecen
Kígyó köz;Debrecen
Kígyó utca;Debrecen
Kikelet utca;Debrecen
Kikerics utca;Debrecen
Kincseshegy utca;Debrecen
Kinizsi utca;Debrecen
Királyfű utca;Debrecen
Király utca;Debrecen
Kirgiz utca;Debrecen
Kisbánya utca;Debrecen
Kisbotos utca;Debrecen
Kisdobos utca;Debrecen
Kiserdő utca;Debrecen
Kisfaludy utca;Debrecen
Kishatár utca;Debrecen
Kishegyesi út;Debrecen
Kiskert utca;Debrecen
Kiskút utca;Debrecen
Kismacs 1-48 tanya;Debrecen
Kismarja utca;Debrecen
Kiss Áron utca;Debrecen
Kiss Ernő utca;Debrecen
Kiss József utca;Debrecen
Kiss Sámuel utca;Debrecen
Kistegez utca;Debrecen
Kistelek utca;Debrecen
Klaipeda utca;Debrecen
Klapka utca;Debrecen
Klastrompart sor;Debrecen
Klauzál Gábor utca;Debrecen
Knézich Károly utca;Debrecen
Kócsag utca;Debrecen
Kocsis utca;Debrecen
Kocsord utca;Debrecen
Kodály Zoltán utca;Debrecen
Kőfaragó utca;Debrecen
Kökény utca;Debrecen
Kökörcsin utca;Debrecen
Kölcsey utca;Debrecen
Köleséri Sámuel utca;Debrecen
Köles utca;Debrecen
Kolónia utca;Debrecen
Kolozsvári utca;Debrecen
Komáromi Csipkés György tér;Debrecen
Komáromi utca;Debrecen
Kömény utca;Debrecen
Komlóssy út;Debrecen
Komló utca;Debrecen
Kőműves utca;Debrecen
Kondoroskert utca;Debrecen
Kondoros utca;Debrecen
Könd utca;Debrecen
Konkoly utca;Debrecen
Köntösgát sor;Debrecen
Köntöskert utca;Debrecen
Kontyvirág utca;Debrecen
Könyök utca;Debrecen
Könyves Tóth Kálmán utca;Debrecen
Könyvkötő utca;Debrecen
Kopáncs utca;Debrecen
Kopja utca;Debrecen
Koppány utca;Debrecen
Korcsolyás utca;Debrecen
Kórház utca;Debrecen
Koriander utca;Debrecen
Kőrisfa utca;Debrecen
Kormorán utca;Debrecen
Kormosalma utca;Debrecen
Körömvirág utca;Debrecen
Kőrösi Csoma Sándor utca;Debrecen
